name,type
oxford,top
roll sleeves,top
western,top
knot front,top
drawstring,top
cargo,pants
pointed-toe t-strap,shoe
closed-toe wedge,shoe
platform pump,shoe
kitten heel,shoe
platform wedge,shoe
pump-toe platform,shoe
mule,shoe
platform slingback,shoe
t-strap peep-toe platform,shoe
anorak,coat
camel coat,coat
parka,coat
peacoat,coat
raincoat,coat
trench coat,coat
blazer,jacket
bolero,jacket
bomber,jacket
down jacket,jacket
field jacket,jacket
varsity jacket,jacket
windbreaker,jacket
poncho,jacket
crew neack,top
henley shirt,top
denim,pants
chinos,pants
khakis,pants
cargoes,pants
sweatpants,pants
joggers,pants
v neck,top
blouse,top
button up,top
cardigan,top
graphic t,top
fitted sleeves,top
wool coat,coat
utility vest,jacket
wedges,shoe
faux leather bomber,jacket
boyfriend jeans,pants
a-line skirt,pants
dark wash denim,pants
rubber flip flops,shoe
flats(almond toe,thin stripe, leapord print),shoe
boots(knee high,ankle, over-the-knee)
flannal pj bottoms,pants
halter top,top
terry cloth,fabric

linen pantsuit,pants
Manolos,shoe
pixie pants,pants
