note,act
"The next morning, they get driven to school by a chauffeur.",act two
"Zane and Athena become celebrities in school.",act two
"Wayne becomes volatile at home, abuses mother",act two
"Zane confronts Wayne.",act two
"Founders announce that top  twenty Matches must compete with others to win money and trip.",act two
"They are asked to do interviews",act two
"Cameras are sent to them and they have to show affection 24/7",act two
"Zane and Athena get to fly to Russia",act two
"The Matches are all gathered to a lavish banquet.",act two
"The founders of the game announce that viewers that kill the Matches will earn a piece of their fortune.",act two
